 ACABEL ;M01AC05
 ACECLOFENACO ;M01AB16 
 ACENAM ;M01AX05
 ACLOCEN ;M01AB16 
 ACOXXEL ;M01AH05
 ADOLQUIR ;M01AE17
 ADVIL ;M01AE01 
 AIRTAL ;M01AB16 
 ALAFEN ;M01AB16 
 ALEVE ;M01AE02
 ALGIASDIN ;M01AE01 
 ALGIDRIN ;M01AE01 
 ALGIFAST ;M01AE01 
 ALIVIODOL ;M01AC06
 ALIVIOMAS ;M01AE02
 ALIVIOSIN ;M01AB01
 ALOGESIA ;M01AE01
 ANARTRIL;M01AX05
 ANDUR ;M01AX05
 ANTALGIN ;M01AE02
 APIROFENO;M01AE01
 ARACENAC ;M01AB16 
 ARAFISIO ;M01AX05
 ARCOXIA ;M01AH05
 ARTILOG;M01AH01
 ARTRINOVO;M01AB01
 ARTRIZAN ;M01AX21
 ARTROTEC;M01AB55 
 ATRISCAL ;M01AE14
 BOSPORON ;M01AC05
 BROTAZONA ;M01AX18
 BRUFEN ;M01AE01
 BUSCAFEM ;M01AE01
 BUTAZOLIDINA ;M01AA01
 CARTISORB ;M01AX05
 CELEBREX ;M01AH01
 CELECOXIB ;M01AH01
 CODEROL;M01AX05
 CONDRODIN ;M01AX25
 CONDROSAN ;M01AX25
 CONDROSULF;M01AX25
 COSLAN ;M01AG01
 CYCLADOL ;M01AC01
 DADOSEL ;M01AE01
 DALFEN ;M01AE01
 DALSY ;M01AE01
 DEKAMEGA;M01AC01
 DENAXPREN ;M01AE02
 DERICAT;M01AE01
 DERSINDOL ;M01AE01
 DEXKETOPROFENO ;M01AE17
 DIACEREINA;M01AX21
 DICLOFENACO ;M01AB05
 DILTIX ;M01AE01
 DI-RETARD;M01AB05
 DOCTRIL ;M01AE01
 DOLENCAR ;M01AE01
 DOLENIO;M01AX05
 DOLORAC;M01AE01
 DOLOTREN ;M01AB05
 DOLO-VOLTAREN ;M01AB05
 DOLTRA ;M01AE01
 DYNASTAT ;M01AH04
 EDILUNA ;M01AE01
 ENANTYUM ;M01AE17
 ESCARMINE ;M01AE01
 ESPIDIDOL ;M01AE01
 ESPIDIFEN ;M01AE01
 EUDORLIN ;M01AE01
 EVASPRIN ;M01AE01
 EXTRAPLUS;M01AE03
 EXXIV ;M01AH05
 FALCOL ;M01AB16 
 FASTUM ;M01AE03
 FEBRIROL ;M01AE01
 FELDENE ;M01AC01
 FEMAPRIN;M01AE01
 FENOMAS ;M01AE01
 FENOSPIN ;M01AE01
 FIDOLCAT ;M01AE01
 FIEDOSIN ;M01AE01
 FLOGOTER ;M01AB01
 FROBEN ;M01AE09
 GALAXDAR;M01AX21
 GELOFENO;M01AE01
 GERBIN ;M01AB16 
 GLIZOLAN ;M01AX21
 GLUCOSAMIDA ;M01AX05
 GLUFAN ;M01AX05
 GLUNIRO ;M01AX05
 GUAXAN ;M01AX17
 HESPERCORBIN ;M01AX05
 IBENON ;M01AE01
 IBUFARMALID;M01AE01
 IBUFEN ;M01AE01
 IBULAF ;M01AE01
 IBUMAC ;M01AE01
 IBUPROFENO;M01AE01
 IBUPROX;M01AE01
 INACID ;M01AB01
 INDONILO;M01AB01
 ISDOL ;M01AE01
 JUNIFEN;M01AE01
 JUNIPRO ;M01AE01
 KALMA ;M01AE01
 KEITHON ;M01AE53
 KETESSE ;M01AE17
 KETOPROFENO ;M01AE03
 KETOROLACO ;M01AB15 
 LEVEDOL ;M01AE01
 LIBERALGIUM ;M01AB05
 LIDERFEME;M01AE01
 LUASE ;M01AB05
 LUNDIRAN;M01AE02
 MASCARTIL ;M01AX05
 MELOXICAM ;M01AC06
 MOMEN ;M01AE02
 MOVALIS ;M01AC06
 NAPROSYN ;M01AE02
 NAPROXENO ;M01AE02
 NARFEN ;M01AE01
 NEOBRUFEN ;M01AE01
 NIFLACTOL ;M01AX02
 NIXYN ;M01AX 
 NODOLFEN ;M01AE01
 NORMODOL ;M01AE01
 NORMULEN ;M01AB55 
 NORVECTAN ;M01AE01
 NUREFLEX;M01AE01
 NUROFEN ;M01AE01
 OBERDOL ;M01AE01
 OBIFAX;M01AX05
 OLDAN ;M01AB11
 ORUDIS ;M01AE03
 PAIDOFEBRIL ;M01AE01
 PAROCIN ;M01AC06
 PIREXIN ;M01AE01
 PIROXICAM ;M01AC01
 POINDOL ;M01AE01
 PREXIGE ;M01AH06
 QUIRALAM ;M01AE17
 RATIODOL ;M01AE01
 REINART ;M01AX21
 RELIF ;M01AX01
 REUTENOX;M01AC02
 SAETIL ;M01AE01
 SALVARINA ;M01AE51
 SERACTIL;M01AE14
 SINSUMIN ;M01AB16 
 SOLUFENA ;M01AE01
 STELLIGE ;M01AH06
 STREDOL;M01AE09
 STREFEN;M01AE09
 TEJUNTIVO;M01AX24
 TODALGIL ;M01AE01
 TORADOL ;M01AB15 
 UNODOL ;M01AE01
 UTICOX ;M01AC06
 VIMOVO ;M01AE52
 VITAXICAM;M01AC01
 VOLTALGIAL;M01AB05
 VOLTAREN ;M01AB05
 XICIL;M01AX05
 A.A.S.;N02BA01
 ASPIRINA ;N02BA01
 CODALGINA ;N02BA01
 DISIPAL ;N02BA01
 RHONAL ;N02BA01
 SEDERGINE ;N02BA01
 AB-FE-CAMPS ;N02BA51
 ACTRON COMPUESTO ;N02BA51
 ACYFLOX ;N02BA51
 ASPIRINA C ;N02BA51
 ASPIRINA PLUS ;N02BA51
 CAFIASPIRINA ;N02BA51
 CALMANTE VITAMINADO PEREZ GIMENEZ ;N02BA51
 CEREBRINO MANDRI ;N02BA51
 DOLOFARMA ;N02BA51
 DOLVIRAN;N02BA51
 MEJORAL CAFEINA ;N02BA51
 NEOCIBALENA ;N02BA51
 NEUROGOBENS;N02BA51
 OKALDOL ;N02BA51
 OKALDOL CON CAFEINA ;N02BA51
 SEDERGINE C ;N02BA51
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
